year,month,minsamp,finalwgt,cmpwgt,basicwgt,orgwgt,hhwgt,famwgt,statefips,countyfips,age,female,hispanic,wbhaom,veteran,cow1,numjobs,ftptstat,mind16,mocc03,wage
2022,1,4,4058.6702,4034.0078,4034.0078,18258.408,.40586701,.40586701,MD,510,62,Female,Not hispanic,Black,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT",Social Services,Service occupations,
2022,1,5,6442.3232,6429.3916,6429.3916,,.47507796,.47507796,MD,Not identified,47,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Wholesale trade,Sales and related occupations,
2022,1,5,4750.7798,4728.9668,4728.9668,,.47507796,.47507796,MD,Not identified,53,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Professional and related occupations,
2022,1,2,4033.2283,4112.0967,4112.0967,,.42303559,.40332282,MD,510,18,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for economic reasons",Retail trade,Transportation and material moving occupations,
2022,1,2,7317.4888,7632.3247,7632.3247,,.42303559,.73174888,MD,510,24,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Two jobs,"FT hours (35+), usually FT",Hospital,Professional and related occupations,
2022,1,2,6401.2734,6208.3042,6208.3042,,.42303559,.6401273,MD,510,26,Male,Not hispanic,Black,Not a veteran,"Private, nonprofit",,Unemployed FT,Educational,Construction and extraction occupations,
2022,1,8,3618.1438,3591.0076,3591.0076,13919.299,.36181438,.36181438,MD,31,25,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",37.5
2022,1,8,4412.5171,4340.0586,4340.0586,17214.266,.36181438,.4412517,MD,31,28,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",17.307499
2022,1,8,4600.3584,4495.8301,4495.8301,18245.68,.46003583,.46003583,MD,510,26,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Service occupations,12.25
2022,1,7,5316.1787,5191.0742,5191.0742,,.53161788,.53161788,MD,510,64,Male,Not hispanic,Black,Not a veteran,Government - Federal,Two jobs,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",
2022,1,8,3749.2813,3739.561,3739.561,15113.937,.37492812,.37492812,MD,31,40,Male,Not hispanic,White,Not a veteran,Government - Federal,Two jobs,"FT hours (35+), usually FT",Public administration,Professional and related occupations,62.980751
2022,1,8,4452.3501,,,,.37492812,.44523501,MD,31,11,Male,Not hispanic,White,,,,,,,
2022,1,3,4887.0605,4790.1265,4790.1265,,.48870605,.48870605,MD,31,51,Female,Hispanic,Hispanic,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT",Transportation,Office and administrative support occupations,
2022,1,3,4714.0986,4655.6553,4655.6553,,.48870605,.48870605,MD,31,48,Male,Hispanic,Hispanic,Not a veteran,"Self-employed, unincorporated",Two jobs,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Service occupations,
2022,1,3,2991.4023,,,,.48870605,.29914024,MD,31,11,Female,Not hispanic,White,,,,,,,
2022,1,7,4100.5508,4056.5381,4056.5381,,.41005507,.41005507,MD,Not identified,30,Female,Not hispanic,White,Not a veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Educational,"Management, business, and financial occupations",
2022,1,4,4621.9561,4516.937,4516.937,18331.34,.46219563,.46219563,MD,Not identified,26,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Office and administrative support occupations,24
