year,month,minsamp,finalwgt,cmpwgt,basicwgt,orgwgt,hhwgt,famwgt,statefips,countyfips,age,female,hispanic,wbhaom,veteran,cow1,numjobs,ftptstat,mind16,mocc03,wage
2022,1,4,4058.6702,4034.0078,4034.0078,18258.408,.40586701,.40586701,MD,510,62,Female,Not hispanic,Black,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT",Social Services,Service occupations,
2022,1,8,3618.1438,3591.0076,3591.0076,13919.299,.36181438,.36181438,MD,31,25,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",37.5
2022,1,8,4412.5171,4340.0586,4340.0586,17214.266,.36181438,.4412517,MD,31,28,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",17.307499
2022,1,8,4600.3584,4495.8301,4495.8301,18245.68,.46003583,.46003583,MD,510,26,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Service occupations,12.25
2022,1,8,3749.2813,3739.561,3739.561,15113.937,.37492812,.37492812,MD,31,40,Male,Not hispanic,White,Not a veteran,Government - Federal,Two jobs,"FT hours (35+), usually FT",Public administration,Professional and related occupations,62.980751
2022,1,4,4621.9561,4516.937,4516.937,18331.34,.46219563,.46219563,MD,Not identified,26,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Office and administrative support occupations,24
2022,1,4,5719.7026,5891.5254,5891.5254,22932.32,.46219563,.46219563,MD,Not identified,27,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Professional and related occupations,34.615002
2022,1,8,7562.5737,7468.8159,7468.8159,29005.281,.75625736,.75625736,MD,510,45,Male,Hispanic,Hispanic,Not a veteran,"Self-employed, incorporated",Employed with one job,"Not at work, usually FT",Construction,Construction and extraction occupations,
2022,1,4,3684.1577,3496.5479,3496.5479,12687.137,.36841577,.36841577,MD,510,40,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Office and administrative support occupations,18
2022,1,4,3888.9771,3965.0244,3965.0244,15206.175,.36841577,.38889769,MD,510,17,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Entertainment and recreation,Service occupations,11
2022,1,8,3666.9421,3480.2087,3480.2087,12627.851,.54072678,.36669421,MD,Not identified,41,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,20
2022,1,8,4135.2202,4114.8623,4114.8623,19167.406,.54072678,.41352203,MD,Not identified,23,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,15
2022,1,8,4135.2202,4114.8623,4114.8623,19167.406,.41352203,.41352203,MD,510,23,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,16.5
